"x","y","h15ptot"
515250,168950,15
515550,146850,12
515650,146250,31
515650,156850,3
516550,148250,6
517350,150450,4
517450,150250,4
515350,154950,6
515350,154550,10
515750,153950,3
517550,150650,3
517650,159050,3
517750,152350,3
517850,147150,15
518050,148150,3
518150,168550,3
518250,156450,6
522950,155950,3
519750,150250,5
519850,150250,3
523350,164350,6
523350,163950,3
523850,147950,4
523950,147450,3
518950,147050,3
520450,151050,3
524250,155550,4
520650,146250,3
521950,156150,3
522050,147050,9
522050,147150,20
522150,162250,3
523450,147250,3
519250,151150,27
520850,150450,3
520950,147150,3
524050,150550,5
521050,162050,10
521050,166350,9
522250,149150,3
522350,159350,3
524350,151150,3
522450,156250,13
524150,150550,10
519550,171050,11
519550,170150,3
521550,147250,4
522650,156350,8
522750,159250,7
524350,152250,3
524350,166950,3
519650,149550,85
521650,163850,44
521650,146850,3
522750,152950,3
515150,168550,4
517250,153150,3
515150,145150,3
516050,148050,3
516150,146550,18
516250,146650,4
512950,150050,11
513150,151550,16
513150,151950,11
513850,151350,6
514850,145750,51
513250,150350,13
514050,169350,6
514250,166950,21
514850,145150,4
514950,145250,20
514950,145050,3
512150,151350,3
512250,145550,5
514350,144550,3
514950,146650,3
512650,145650,13
529850,152250,9
529950,153350,7
530150,151950,10
530250,162850,30
530250,152250,14
530350,165350,18
530450,153650,3
530550,165450,3
530550,153850,4
532550,156350,5
530750,166750,3
531150,158950,6
532050,156350,7
532150,152750,25
532650,153050,19
530750,154450,10
532850,160750,3
531350,161050,4
530850,154750,3
532950,152050,101
532950,161650,6
530950,153850,14
533150,151750,7
533150,153350,71
530950,152750,10
530950,154250,30
531750,154750,120
532750,158650,3
532450,158650,3
532950,157050,3
531950,164050,3
532550,152250,4
532050,152750,5
532050,156650,3
529750,153550,11
530050,152450,55
530050,159550,3
524850,154450,3
525350,151450,5
525850,150250,3
525950,163250,5
525450,153050,3
526450,153450,40
526450,151750,8
526450,153550,3
526450,153350,3
526550,158350,5
526550,158450,6
528950,157650,3
527850,153150,8
527950,165450,11
527250,152550,3
527250,161350,7
528150,162650,13
527350,151250,40
528150,162750,5
528750,163050,56
529350,155550,3
527550,161050,4
528750,162750,3
528750,161250,3
529550,162250,6
529650,152750,7
528750,158050,3
528850,156250,13
528850,162950,28
529050,157750,3
529150,157650,6
527650,153250,3
528850,152450,7
529350,171450,3
529450,168050,11
527750,165250,9
528450,162550,9
529650,162150,6
528450,162750,16
524450,158250,5
524550,157150,3
525550,153150,3
525550,150650,3
524650,152550,4
526150,156850,4
536250,152350,41
536250,154450,74
536250,153550,125
536350,153850,44
536450,152450,34
536550,153150,128
536650,159550,8
536350,153650,95
536850,151850,62
537950,153350,23
537950,153550,185
537950,151150,48
536950,153950,54
537350,152150,76
537750,151850,78
537750,153050,132
537750,157650,3
537750,154650,85
538050,158650,3
537450,153050,312
537050,152050,84
537850,152750,202
537850,150950,3
537050,154450,43
537550,154850,63
538050,153950,5
538150,156650,9
537650,154550,47
537950,152350,3
537250,153250,210
537750,151350,21
537250,160050,3
537750,153950,51
536550,159350,3
536550,154350,60
533350,170750,8
533950,165650,5
533450,154650,26
533850,153850,16
533950,153750,153
533950,156050,8
533950,171850,3
534050,155150,29
534050,156050,37
534050,166050,26
534050,166250,3
534050,164250,9
534150,155650,3
535750,154450,13
535750,159650,40
534250,156350,7
534750,158550,9
535850,165450,4
535950,165450,20
535950,154650,21
534350,153850,81
536150,167750,20
534950,154050,53
534950,168550,3
535450,152950,84
534450,161450,3
535050,154350,47
536050,159350,51
535550,155650,11
536150,152050,58
534550,162450,3
534550,153850,112
535950,152850,41
535950,156750,17
535650,157550,17
533850,159250,3
533850,153150,21
539850,154250,31
540050,153650,12
540150,163350,18
540250,155550,3
541650,164650,3
541650,151550,4
541750,162950,3
541750,161550,10
541850,150650,73
541850,152750,20
540450,162950,6
540450,151650,53
541250,161050,5
541950,152450,8
541950,169650,11
540850,156450,3
540850,155950,5
540850,154550,12
540550,163350,18
540550,165250,10
540550,151150,33
540950,151850,12
541350,155850,3
540550,152450,33
540950,165450,3
541450,156650,3
541450,151950,3
541450,152050,7
540650,156050,3
539750,157350,3
538250,167750,3
538250,157550,7
538350,151550,44
538350,151450,129
538450,165650,30
538250,154550,61
538350,152750,77
538350,154950,3
538650,152450,191
539450,155250,42
538950,166250,13
539650,152250,19
538750,155650,5
538750,158750,6
539150,159950,38
539550,171350,3
538950,165450,3
539050,150850,3
539350,154250,8
